schooltype,Arab,Grouptype,Group Name,SelfTransendence,OpenessToChange,Conservation,SelfEnhancement,,,,,,
1.00,1.00,4,ArabBil,-0.20,0.13,0.13,-0.20,,,,,,
1.00,1.00,4,ArabBil,-0.10,1.07,0.40,-1.27,,,,,,
1.00,1.00,4,ArabBil,-0.20,0.13,1.47,-1.20,,,,,,
1.00,1.00,4,ArabBil,1.00,0.17,-0.83,0.83,,,,,,
1.00,1.00,4,ArabBil,0.00,-0.33,1.00,-0.33,,,,,,
1.00,1.00,4,ArabBil,2.00,-0.33,-1.00,0.33,,,,,,
1.00,1.00,4,ArabBil,1.30,1.30,-0.37,-1.37,,,,,,
1.00,1.00,4,ArabBil,-1.10,0.90,0.57,-0.77,,,,,,
1.00,1.00,4,ArabBil,-0.20,1.47,-1.53,0.80,,,,,,
1.00,1.00,4,ArabBil,1.30,1.30,-0.37,-1.37,,,,,,
1.00,1.00,4,ArabBil,1.00,-0.67,1.00,-0.67,,,,,,
1.00,1.00,4,ArabBil,-0.20,-0.37,-0.03,0.63,,,,,,
1.00,1.00,4,ArabBil,0.20,-0.30,1.03,-1.63,,,,,,
1.00,1.00,4,ArabBil,-1.40,-0.07,0.93,0.27,,,,,,
1.00,1.00,4,ArabBil,0.00,0.00,0.00,0.00,,,,,,
1.00,1.00,4,ArabBil,0.00,2.33,-1.33,0.00,,,,,,
1.00,1.00,4,ArabBil,-0.50,0.33,2.00,-3.00,,,,,,
1.00,1.00,4,ArabBil,0.60,0.27,0.60,-1.07,,,,,,
1.00,1.00,4,ArabBil,0.60,0.27,0.60,-1.07,,,,,,
1.00,1.00,4,ArabBil,0.30,0.47,-0.53,0.80,,,,,,
1.00,1.00,4,ArabBil,0.20,0.53,-0.13,-0.13,,,,,,
1.00,1.00,4,ArabBil,-0.50,0.50,0.83,-0.50,,,,,,
1.00,1.00,4,ArabBil,-2.00,1.00,0.33,0.33,,,,,,
1.00,1.00,4,ArabBil,-0.40,-0.07,0.60,-0.40,,,,,,
1.00,1.00,4,ArabBil,2.00,1.33,-1.33,-1.00,,,,,,
1.00,1.00,4,ArabBil,1.10,-0.07,-1.73,0.60,,,,,,
1.00,1.00,4,ArabBil,0.90,1.07,-0.60,-0.93,,,,,,
1.00,1.00,4,ArabBil,0.60,-0.23,-0.23,-0.57,,,,,,
1.00,1.00,4,ArabBil,0.30,0.63,0.30,-0.70,,,,,,
1.00,1.00,4,ArabBil,0.60,0.60,-0.40,-0.40,,,,,,
1.00,1.00,4,ArabBil,0.70,0.70,-1.30,0.37,,,,,,
1.00,1.00,4,ArabBil,2.10,1.77,-2.23,-0.23,,,,,,
1.00,1.00,4,ArabBil,-0.10,0.90,-0.10,-0.43,,,,,,
1.00,1.00,4,ArabBil,0.00,0.00,0.00,0.00,,,,,,
1.00,1.00,4,ArabBil,-0.20,-0.03,0.30,-0.37,,,,,,
1.00,1.00,4,ArabBil,-1.30,-0.30,0.70,-0.30,,,,,,
1.00,1.00,4,ArabBil,0.70,0.87,-0.47,-0.47,,,,,,
1.00,1.00,4,ArabBil,0.40,0.90,-0.10,-0.77,,,,,,
1.00,1.00,4,ArabBil,0.30,-0.20,0.47,-0.20,,,,,,
1.00,1.00,4,ArabBil,-0.10,0.90,-0.10,-0.43,,,,,,
1.00,1.00,4,ArabBil,0.30,0.13,-0.53,0.13,,,,,,
1.00,1.00,4,ArabBil,-0.40,0.77,-1.23,0.77,,,,,,
1.00,1.00,4,ArabBil,-0.30,0.53,0.53,-0.13,,,,,,
1.00,1.00,4,ArabBil,-0.30,-0.13,1.20,-0.47,,,,,,
1.00,1.00,4,ArabBil,-0.50,0.00,0.33,-0.33,,,,,,
1.00,1.00,4,ArabBil,-0.30,0.87,-0.47,0.20,,,,,,
1.00,1.00,4,ArabBil,0.70,0.37,0.03,-0.63,,,,,,
1.00,1.00,4,ArabBil,-0.10,-0.60,0.73,-0.27,,,,,,
1.00,1.00,4,ArabBil,0.90,0.40,-0.27,-0.27,,,,,,
1.00,1.00,4,ArabBil,-0.20,0.47,-0.87,0.80,,,,,,
1.00,1.00,4,ArabBil,-0.60,-0.43,0.57,0.57,,,,,,
1.00,1.00,4,ArabBil,2.80,-1.70,0.30,-1.03,,,,,,
1.00,1.00,4,ArabBil,-0.10,0.23,-0.43,0.23,,,,,,
1.00,1.00,4,ArabBil,2.10,-0.73,0.27,-1.07,,,,,,
1.00,1.00,4,ArabBil,1.60,1.27,-1.07,-0.73,,,,,,
1.00,1.00,4,ArabBil,0.70,0.37,-0.63,0.03,,,,,,
1.00,1.00,4,ArabBil,-1.40,0.10,-0.23,0.43,,,,,,
1.00,1.00,4,ArabBil,0.30,0.13,0.47,-0.53,,,,,,
1.00,1.00,4,ArabBil,0.00,1.00,-0.33,-0.33,,,,,,
1.00,1.00,4,ArabBil,1.60,0.60,-0.73,-1.07,,,,,,
1.00,1.00,4,ArabBil,1.20,-0.30,-0.63,0.70,,,,,,
1.00,1.00,4,ArabBil,1.30,0.63,-1.37,0.30,,,,,,
1.00,1.00,4,ArabBil,0.30,0.30,0.30,-0.70,,,,,,
1.00,1.00,4,ArabBil,-1.00,-0.50,0.83,0.50,,,,,,
1.00,1.00,4,ArabBil,-2.00,0.83,0.17,0.50,,,,,,
1.00,1.00,4,ArabBil,0.40,-0.43,0.57,-0.43,,,,,,
1.00,1.00,4,ArabBil,-0.10,0.57,-0.10,-0.10,,,,,,
1.00,1.00,4,ArabBil,0.50,0.50,-0.50,-0.17,,,,,,
1.00,1.00,4,ArabBil,0.70,-0.97,0.03,0.70,,,,,,
1.00,1.00,4,ArabBil,0.00,0.00,0.00,0.00,,,,,,
1.00,1.00,4,ArabBil,-0.70,0.63,-0.37,0.63,,,,,,
1.00,1.00,4,ArabBil,0.60,0.77,-0.23,-0.90,,,,,,
1.00,1.00,4,ArabBil,0.60,0.77,-0.90,0.10,,,,,,
1.00,1.00,4,ArabBil,1.20,0.70,-0.63,-0.97,,,,,,
1.00,1.00,4,ArabBil,1.70,0.37,0.03,-1.63,,,,,,
1.00,1.00,4,ArabBil,1.90,-1.43,0.57,0.23,,,,,,
1.00,1.00,4,ArabBil,0.50,0.17,-0.17,-0.50,,,,,,
1.00,1.00,4,ArabBil,-0.10,0.90,-1.10,0.57,,,,,,
1.00,1.00,4,ArabBil,2.30,0.30,-1.03,-1.03,,,,,,
1.00,1.00,4,ArabBil,2.50,0.50,-1.17,-0.83,,,,,,
1.00,1.00,4,ArabBil,-2.10,0.90,1.90,-2.10,,,,,,
2.00,1.00,5,Arab=Mix,1.30,1.30,-2.03,0.30,,,,,,
2.00,1.00,5,Arab=Mix,0.70,0.03,-0.30,0.03,,,,,,
2.00,1.00,5,Arab=Mix,0.10,0.10,-0.57,0.77,,,,,,
2.00,1.00,5,Arab=Mix,-0.10,0.73,-0.27,0.40,,,,,,
2.00,1.00,5,Arab=Mix,1.00,0.00,-0.33,-0.67,,,,,,
2.00,1.00,5,Arab=Mix,0.70,1.03,-1.30,0.37,,,,,,
2.00,1.00,5,Arab=Mix,0.90,0.73,-0.60,-0.60,,,,,,
2.00,1.00,5,Arab=Mix,1.20,0.20,0.53,-1.13,,,,,,
2.00,1.00,5,Arab=Mix,0.10,0.77,-0.90,0.43,,,,,,
2.00,1.00,5,Arab=Mix,-0.60,0.40,-0.60,1.07,,,,,,
2.00,1.00,5,Arab=Mix,-1.10,1.57,-0.77,0.57,,,,,,
2.00,1.00,5,Arab=Mix,1.30,0.30,-0.37,-0.37,,,,,,
2.00,1.00,5,Arab=Mix,0.30,-0.03,0.63,-0.70,,,,,,
